nr1,aika1,nr2,aika2,nr3,aika3,nr4,aika4,nr5,aika5,nr6,aika6,nr7,aika7,nr8,aika8,nr9,aika9,nr10,aika10,nr11,aika11,nr12,aika12,nr13,aika13,nr14,aika14,nr15,aika15,nr16,aika16
6,11:09:01,6,11:22:04,7,11:35:30,7,11:50:51,7,12:13:48,6,12:28:31,6,12:53:50,6,13:06:30,6,13:20:18,6,13:32:04,,,,,,,,,,,,
1,11:09:01,1,11:22:09,10,11:35:59,6,11:51:55,10,12:14:35,7,12:28:47,7,12:56:28,4,13:09:26,4,13:22:18,4,13:34:38,,,,,,,,,,,,
3,11:09:02,3,11:22:10,6,11:36:00,11,11:51:57,6,12:14:36,10,12:28:56,4,12:56:55,11,13:10:05,11,13:23:25,11,13:36:08,,,,,,,,,,,,
5,11:09:03,4,11:22:10,3,11:36:33,14,11:51:59,11,12:15:14,11,12:29:53,1,12:56:57,7,13:10:07,7,13:23:45,7,13:36:27,,,,,,,,,,,,
4,11:09:04,10,11:22:14,5,11:36:44,10,11:52:08,5,12:15:53,5,12:30:01,11,12:56:58,1,13:10:12,1,13:24:51,1,13:37:35,,,,,,,,,,,,
7,11:09:04,7,11:22:15,1,11:36:49,5,11:53:22,14,12:16:20,4,12:30:15,10,12:57:13,10,13:11:16,10,13:24:52,10,13:37:36,,,,,,,,,,,,
14,11:09:07,5,11:22:34,4,11:36:51,16,11:53:26,1,12:16:23,1,12:30:16,5,12:57:57,5,13:12:11,5,13:25:43,5,13:37:42,,,,,,,,,,,,
2,11:09:08,2,11:22:35,14,11:36:56,4,11:53:56,4,12:16:27,14,12:31:22,14,12:59:55,14,13:13:39,14,13:27:31,16,13:40:36,,,,,,,,,,,,
10,11:09:10,14,11:22:49,11,11:37:00,1,11:53:59,16,12:17:03,16,12:31:44,16,13:00:16,16,13:14:35,16,13:28:16,9,13:41:32,,,,,,,,,,,,
11,11:09:16,11,11:23:18,2,11:37:17,2,11:54:09,2,12:18:58,2,12:34:07,9,13:02:12,9,13:15:29,9,13:28:19,14,13:42:03,,,,,,,,,,,,
9,11:09:33,20,11:24:11,16,11:38:18,3,11:55:38,9,12:19:44,9,12:34:16,8,13:03:50,8,13:17:39,8,13:31:39,8,13:45:36,,,,,,,,,,,,
17,11:09:43,17,11:24:12,17,11:38:55,9,11:56:03,15,12:20:22,15,12:35:22,2,13:04:13,26,13:19:07,15,13:32:44,15,13:45:57,,,,,,,,,,,,
20,11:09:45,9,11:24:12,9,11:39:11,17,11:56:08,17,12:20:40,17,12:35:46,26,13:04:58,2,13:19:10,2,13:32:49,2,13:46:43,,,,,,,,,,,,
16,11:09:46,16,11:24:16,27,11:40:00,15,11:56:31,3,12:21:35,8,12:36:27,15,13:05:43,,,3,13:32:57,26,13:47:18,,,,,,,,,,,,
13,11:09:47,27,11:24:36,28,11:40:20,27,11:58:04,27,12:21:42,3,12:36:38,3,13:05:54,,,26,13:33:38,3,13:47:33,,,,,,,,,,,,
8,11:09:56,28,11:24:37,15,11:40:34,26,11:58:46,8,12:21:58,26,12:36:51,13,13:06:58,,,13,13:34:41,13,13:49:22,,,,,,,,,,,,
25,11:09:57,25,11:24:44,20,11:40:39,36,11:58:52,26,12:22:12,27,12:36:54,28,13:07:25,,,28,13:35:49,28,13:50:14,,,,,,,,,,,,
27,11:09:57,8,11:24:53,26,11:40:45,28,11:59:00,28,12:23:00,28,12:38:10,24,13:08:13,,,17,13:37:50,17,13:52:45,,,,,,,,,,,,
26,11:10:03,29,11:24:58,8,11:40:59,8,11:59:05,24,12:24:08,24,12:39:03,,,,,32,13:38:09,32,13:52:56,,,,,,,,,,,,
29,11:10:04,26,11:25:01,29,11:41:07,33,11:59:19,36,12:24:51,13,12:39:30,,,,,19,13:38:23,19,13:52:58,,,,,,,,,,,,
